Mã số sinh viên,Họ,Tên,Email,Ngày sinh,Quê quán,Điểm Toán,Điểm Văn,Điểm Tiếng Anh
SV0001,Nguyễn,An,an.nguyen01@email.com,20/05/2004,Hà Nội,8.   8 ,điểm văn,100
SV0002,Trần,Bảo,bao.tran02@email.com,15/02/2005,Hưng Yên,4.7x,,-1
SV0003,Lê,Chi,chi.le03@email.com,30/11/2004,Đà Nẵng,13,7.5,6.5
SV0004,Phạm,Dũng,,05/08/2005,Nghệ An,5.5,6.2,1.5
SV0005,Hoàng,Hà,ha.hoang05@email.com,12/09/2004,Ninh Bình,0.8,5.1,4.2
SV0006,Vũ,Huy,huy.vu06@email.com,25/01/2004,TP. Hồ Chí Minh,7.8,8.1,
SV0007,Đặng,Lan,,19/07/2005,Cần Thơ,2.2,9.0,3.5
SV0008,Bùi,Minh,minh.bui08@email.com,03/04/2004,Bình Dương,6.1,5.5,2.1
SV0009,Hồ,Nam,nam.ho09@email.com,14/06/2005,Hải Phòng,9.5,,7.0
SV0010,Ngô,Ngọc,ngoc.ngo10@email.com,22/10/2004,Thanh Hóa,3.4,6.8,0.5
SV0011,Dương,Oanh,,28/03/2004,Hưng Yên,5.8,1.8,
SV0012,Lý,Phong,phong.ly12@email.com,11/12/2005,Hà Nội,8.5,9.9,6.8
SV0013,Trịnh,Quân,quan.trinh13@email.com,09/02/2004,Nghệ An,,4.5,3.8
SV0014,Đoàn,Sơn,son.doan14@email.com,17/08/2004,TP. Hồ Chí Minh,7.2,8.8,7.0
SV0015,Vương,Thảo,,01/05/2005,Đà Nẵng,8.1,7.5,6.2
SV0016,Nguyễn,Tuấn,tuan.nguyen16@email.com,16/03/2004,Hà Nội,6.9,7.0,6.8
SV0017,Trần,Uyên,uyen.tran17@email.com,23/09/2005,Ninh Bình,5.0,,3.1
SV0018,Lê,Việt,viet.le18@email.com,04/07/2004,Hưng Yên,4.1,1.5,4.7
SV0019,Phạm,Vy,vy.pham19@email.com,18/11/2004,Thanh Hóa,7.5,,6.4
SV0020,Hoàng,Xuân,xuan.hoang20@email.com,21/01/2005,Nghệ An,4.3,5.9,2.1
SV0021,Vũ,Yến,yen.vu21@email.com,02/06/2004,Bình Dương,6.7,5.2,3.9
SV0022,Nguyễn,Anh,anh.nguyen22@email.com,10/10/2005,TP. Hồ Chí Minh,9.5,9.0,9.8
SV0023,Trần,Bình,binh.tran23@email.com,08/04/2004,Hà Nội,8.0,8.5,5.2
SV0024,Lê,Châu,chau.le24@email.com,13/12/2004,Bình Dương,6.8,,1.0
SV0025,Phạm,Duy,,26/05/2005,Thanh Hóa,4.2,6.8,
SV0026,Hoàng,Giang,giang.hoang26@email.com,31/08/2004,Hải Phòng,8.9,4.5,6.0
SV0027,Vũ,Hạnh,,06/02/2004,Hưng Yên,5.3,,3.1
SV0028,Đặng,Hiếu,hieu.dang28@email.com,19/09/2005,Nghệ An,4.0,5.7,2.2
SV0029,Bùi,Hoa,hoa.bui29@email.com,24/04/2004,Ninh Bình,6.4,7.1,
SV0030,Hồ,Hùng,hung.ho30@email.com,29/10/2005,Ninh Bình,3.9,7.0,1.5
SV0031,Ngô,Hương,,07/03/2004,Hưng Yên,5.1,6.5,4.3
SV0032,Dương,Khánh,khanh.duong32@email.com,12/07/2004,Hà Nội,9.4,8.9,9.2
SV0033,Lý,Khoa,khoa.ly33@email.com,15/11/2005,Bình Dương,5.8,6.0,
SV0034,Trịnh,Linh,linh.trinh34@email.com,20/02/2004,Thanh Hóa,4.3,5.8,2.6
SV0035,Đoàn,Long,long.doan35@email.com,25/06/2005,Nghệ An,5.4,,3.8
SV0036,Vương,Ly,ly.vuong36@email.com,30/09/2004,Đà Nẵng,8.6,7.2,6.9
SV0037,Nguyễn,Mai,mai.nguyen37@email.com,05/01/2004,Ninh Bình,5.6,4.5,
SV0038,Trần,My,my.tran38@email.com,10/05/2005,Bình Dương,5.0,6.5,3.2
SV0039,Lê,Nga,nga.le39@email.com,15/08/2004,Thanh Hóa,2.6,6.2,
SV0040,Phạm,Nhi,nhi.pham40@email.com,20/12/2005,TP. Hồ Chí Minh,9.2,8.5,9.5
SV0041,Hoàng,Nhung,,25/03/2004,Nghệ An,4.8,5.1,3.9
SV0042,Vũ,Phúc,phuc.vu42@email.com,30/07/2004,Hà Nội,8.2,8.8,
SV0043,Đặng,Phương,phuong.dang43@email.com,04/11/2005,Hưng Yên,5.2,6.8,4.5
SV0044,Bùi,Quang,quang.bui44@email.com,09/01/2004,Hải Phòng,7.2,6.5,6.5
SV0045,Hồ,Quỳnh,,14/05/2005,Ninh Bình,6.5,,3.8
SV0046,Ngô,Tài,tai.ngo46@email.com,19/08/2004,Bình Dương,5.5,6.2,4.8
SV0047,Dương,Tâm,tam.duong47@email.com,24/12/2005,Thanh Hóa,2.8,,
SV0048,Lý,Thành,thanh.ly48@email.com,29/03/2004,Nghệ An,6.8,7.5,1.2
SV0049,Trịnh,Thảo,thao.trinh49@email.com,03/07/2004,Hưng Yên,5.5,6.5,
SV0050,Đoàn,Thị,thi.doan50@email.com,08/11/2005,Cần Thơ,9.5,3.2,5.8
SV0051,Vương,Thu,thu.vuong51@email.com,13/02/2004,Ninh Bình,3.5,2.8,2.9
SV0052,Nguyễn,Thủy,,18/06/2005,Hà Nội,,8.8,7.5
