student_code,full_name,email,date_of_birth,hometown,math_score,literature_score,english_score,avg_score
SV20250001,Linh Đặng Anh,,2000-01-02,Cần Thơ,5.44,1.48,5.2,4.04
SV20250002,Phương Nguyễn Hữu,phuongnguyenhuu446@edu.vn,2004-04-01,Thái Bình,7.31,8.03,3.45,6.26
SV20250003,Linh Vũ Ngọc,,2002-04-06,Đà Nẵng,8.04,0.79,4.74,4.52
SV20250004,Long Võ Ngọc,longvongoc796@edu.vn,2000-12-10,Thái Bình,2.25,0.34,,1.3
SV20250005,Phương Vũ Gia,phuongvugia240@edu.vn,2003-06-02,Lào Cai,0.66,1.17,0.25,0.69
SV20250006,nan nan,,,nan,,9.11,9.46,9.28
SV20250007,Nam Lê Bảo,,2000-03-07,Cần Thơ,4.48,7.88,3.7,5.35
SV20250008,Nam Võ Ngọc,namvongoc56@edu.vn,2002-02-13,Thanh Hóa,7.09,4.2,9.25,6.85
SV20250009,Lan Nguyễn Quốc,lannguyenquoc880@edu.vn,2004-02-21,Lào Cai,5.49,6.1,8.29,6.63
SV20250010,Hải Trần Hữu,haitranhuu401@edu.vn,2001-09-14,Hà Nội,4.0,7.7,6.38,6.03
SV20250011,nan nan,,2003-02-22,nan,0.0,2.21,,1.1
SV20250012,Ngân Vũ Anh,nganvuanh980@edu.vn,2000-06-15,Thái Bình,,0.11,1.81,0.96
SV20250013,Linh Vũ Thị,linhvuthi767@edu.vn,2001-06-16,Lào Cai,8.08,3.59,,5.84
SV20250014,Mai Huỳnh Bảo,maihuynhbao787@edu.vn,2001-06-16,Thái Bình,,8.18,,8.18
SV20250015,Mai Phan Minh,maiphanminh521@edu.vn,2004-11-27,Đà Nẵng,5.56,2.01,9.07,5.55
SV20250016,Duy Huỳnh Thị,duyhuynhthi320@edu.vn,2004-05-07,Hồ Chí Minh,2.01,,7.56,4.78
SV20250017,Hà Phạm Gia,haphamgia403@edu.vn,2002-03-24,Hồ Chí Minh,3.36,5.45,0.57,3.13
SV20250018,Trang Phan Bảo,trangphanbao598@edu.vn,2007-03-24,Đà Nẵng,,8.66,3.68,6.17
SV20250019,Hải Vũ Minh,haivuminh382@edu.vn,2003-09-27,Thái Nguyên,,,8.83,8.83
SV20250020,Tuấn Phan Hữu,tuanphanhuu864@edu.vn,2002-10-01,Thái Nguyên,5.28,7.35,4.17,5.6
SV20250021,Lan Vũ Gia,lanvugia990@edu.vn,2001-11-25,Nam Định,3.3,1.45,9.45,4.73
SV20250022,Huy Vũ Văn,,2004-01-28,Lào Cai,7.66,4.79,,6.22
SV20250023,Cường Hoàng Anh,cuonghoanganh935@edu.vn,,Cần Thơ,,3.33,3.94,3.64
SV20250024,Nam Phạm Quốc,namphamquoc682@edu.vn,2005-02-11,Hà Nội,3.61,4.63,1.54,3.26
SV20250025,Hà Lê Anh,haleanh127@edu.vn,2001-06-14,Đà Nẵng,,8.35,7.48,7.92
SV20250026,Hà Vũ Đức,havuduc528@edu.vn,2000-09-21,Lào Cai,0.32,6.39,4.67,3.79
SV20250027,Duy Đặng Văn,,2003-05-03,Hà Nội,8.43,2.68,,5.56
SV20250028,Lan Nguyễn Bảo,lannguyenbao885@edu.vn,2004-11-09,nan,7.83,5.51,1.49,4.94
SV20250029,Nam Võ Quốc,namvoquoc12@edu.vn,2000-01-18,Hà Nội,3.97,3.11,2.69,3.26
SV20250030,Mai Phan Thị,maiphanthi98@edu.vn,2000-11-03,Thái Nguyên,8.12,5.02,0.51,4.55
SV20250031,Ngân Lê Anh,nganleanh173@edu.vn,2000-10-01,Hà Nội,2.91,,7.59,5.25
SV20250032,Huy Trần Đức,huytranduc341@edu.vn,2006-09-10,Thái Nguyên,3.29,,2.35,2.82
SV20250033,Cường Võ Minh,cuongvominh19@edu.vn,2002-03-09,Thanh Hóa,1.65,6.95,,4.3
SV20250034,Mai Phan Anh,maiphananh953@edu.vn,2002-03-22,Đà Nẵng,8.12,,,8.12
SV20250035,Ngân Hoàng Đức,nganhoangduc86@edu.vn,2003-04-15,Thanh Hóa,,4.11,,4.11
SV20250036,Phương Huỳnh Thị,phuonghuynhthi700@edu.vn,2001-07-25,nan,2.13,0.99,,1.56
SV20250037,Hải Lê Anh,haileanh788@edu.vn,2007-11-16,Đà Nẵng,7.85,6.67,8.36,7.63
SV20250038,Trang Phan Gia,trangphangia247@edu.vn,2001-01-23,Hà Nội,,,4.9,4.9
SV20250039,nan nan,,2001-01-19,Quảng Ninh,8.52,2.93,1.31,4.25
SV20250040,Trang Hoàng Anh,tranghoanganh794@edu.vn,2007-06-23,Lào Cai,3.85,,8.68,6.26
SV20250041,Linh Vũ Hữu,linhvuhuu821@edu.vn,,Quảng Ninh,8.88,,,8.88
SV20250042,Phương Đặng Ngọc,phuongdangngoc290@edu.vn,2001-02-16,Lào Cai,3.5,3.08,8.72,5.1
SV20250043,Nam Trần Văn,,2000-02-13,Cần Thơ,0.63,,3.95,2.29
SV20250044,Linh Vũ Minh,linhvuminh405@edu.vn,2004-02-06,Thái Nguyên,9.34,3.54,4.45,5.78
SV20250045,Lan Nguyễn Gia,lannguyengia669@edu.vn,2007-03-25,Đà Nẵng,,0.5,3.88,2.19
SV20250046,Nam Đặng Quốc,namdangquoc850@edu.vn,2003-12-22,Thái Bình,5.24,7.46,1.92,4.87
SV20250047,Long Hoàng Hữu,longhoanghuu343@edu.vn,2004-01-14,Hà Nội,,7.31,0.02,3.66
SV20250048,Phương Lê Quốc,,2000-07-06,Quảng Ninh,,3.77,1.63,2.7
SV20250049,Nam Huỳnh Anh,namhuynhanh753@edu.vn,,Hồ Chí Minh,4.67,0.27,3.55,2.83
SV20250050,nan nan,,2006-09-07,Thái Nguyên,6.97,7.5,8.56,7.68
SV20250051,Mai Phạm Quốc,maiphamquoc50@edu.vn,2006-03-23,Cần Thơ,1.93,,5.06,3.49
SV20250052,Cường Đặng Minh,cuongdangminh251@edu.vn,2000-07-07,Lào Cai,0.35,3.1,2.07,1.84
SV20250053,Phương Võ Văn,phuongvovan617@edu.vn,2001-03-28,Hồ Chí Minh,1.14,8.06,1.05,3.42
SV20250054,Trang Phan Văn,trangphanvan699@edu.vn,2005-03-20,Thái Nguyên,9.8,,2.28,6.04
SV20250055,Trang Vũ Anh,trangvuanh111@edu.vn,2004-02-19,Hà Nội,,4.39,8.15,6.27
SV20250056,Nhung Phan Quốc,nhungphanquoc913@edu.vn,2000-09-08,Thái Bình,5.84,,,5.84
SV20250057,nan nan,,2000-01-10,Nam Định,6.92,,9.03,7.98
SV20250058,Huy Đặng Quốc,,,Quảng Ninh,5.14,5.06,3.24,4.48
SV20250059,Mai Đặng Quốc,maidangquoc965@edu.vn,2007-08-03,Nam Định,9.46,,3.06,6.26
SV20250060,nan nan,,2000-09-12,Cần Thơ,4.62,5.9,2.39,4.3
SV20250061,Nam Lê Minh,namleminh306@edu.vn,2007-08-24,Hà Nội,0.94,5.62,,3.28
SV20250062,Hà Hoàng Thị,hahoangthi482@edu.vn,,Nam Định,4.86,2.2,,3.53
SV20250063,Linh Phạm Bảo,linhphambao846@edu.vn,2006-07-14,Thái Nguyên,,,2.09,2.09
SV20250064,Duy Phan Ngọc,duyphanngoc429@edu.vn,2001-05-13,Nam Định,,3.83,2.59,3.21
SV20250065,Phương Nguyễn Ngọc,phuongnguyenngoc810@edu.vn,2002-07-04,Cần Thơ,5.96,3.27,6.15,5.13
SV20250066,Trang Võ Hữu,trangvohuu656@edu.vn,2005-01-09,Thái Bình,,5.43,3.76,4.6
SV20250067,Long Phạm Hữu,longphamhuu775@edu.vn,2006-08-19,Quảng Ninh,5.0,7.25,4.83,5.69
SV20250070,Linh Lê Hữu,linhlehuu564@edu.vn,2001-08-10,Đà Nẵng,6.57,,4.02,5.3
SV20250071,Huy Phạm Văn,huyphamvan532@edu.vn,2000-08-25,nan,2.39,0.01,2.69,1.7
SV20250072,Mai Phạm Ngọc,maiphamngoc449@edu.vn,2001-02-10,Hồ Chí Minh,,,7.16,7.16
SV20250073,Huy Phạm Quốc,huyphamquoc629@edu.vn,2004-07-22,Hà Nội,,6.8,0.01,3.4
SV20250074,nan nan,,2003-09-16,nan,0.31,8.95,8.11,5.79
SV20250075,Hà Đặng Đức,hadangduc165@edu.vn,2007-02-26,Hà Nội,2.67,,,2.67
SV20250076,Hải Võ Bảo,haivobao507@edu.vn,2004-08-28,Đà Nẵng,,8.98,,8.98
SV20250077,Duy Nguyễn Quốc,duynguyenquoc167@edu.vn,2001-11-12,Hồ Chí Minh,,0.11,9.41,4.76
SV20250078,Mai Trần Bảo,maitranbao799@edu.vn,2004-04-17,Quảng Ninh,1.9,0.12,,1.01
SV20250079,Ngân Trần Gia,ngantrangia910@edu.vn,2000-12-10,Cần Thơ,,9.24,6.38,7.81
SV20250080,Tuấn Vũ Minh,tuanvuminh740@edu.vn,2007-09-21,nan,,4.27,1.57,2.92
SV20250081,Trang Võ Ngọc,trangvongoc851@edu.vn,2004-10-28,Lào Cai,1.24,9.19,7.25,5.89
SV20250082,Trang Nguyễn Thị,trangnguyenthi578@edu.vn,2003-07-02,Thanh Hóa,3.6,3.64,8.4,5.21
SV20250083,Huy Huỳnh Gia,huyhuynhgia493@edu.vn,2007-05-28,Thanh Hóa,0.22,,6.07,3.14
SV20250084,Lan Phạm Quốc,lanphamquoc284@edu.vn,2006-04-23,Thanh Hóa,,3.07,2.93,3.0
SV20250085,Mai Trần Văn,maitranvan380@edu.vn,2005-08-17,Nam Định,2.76,6.71,8.81,6.09
SV20250086,Hải Nguyễn Đức,hainguyenduc165@edu.vn,2002-02-23,Quảng Ninh,2.51,0.17,,1.34
SV20250087,Trang Lê Anh,trangleanh391@edu.vn,2005-04-19,nan,8.65,2.78,6.56,6.0
SV20250088,Nam Trần Hữu,namtranhuu877@edu.vn,,Thái Bình,8.06,8.77,1.32,6.05
SV20250089,Duy Võ Minh,duyvominh618@edu.vn,2002-11-14,nan,6.07,,6.29,6.18
SV20250090,Nhung Phan Quốc,nhungphanquoc973@edu.vn,2002-06-19,Đà Nẵng,2.38,,9.31,5.85
SV20250091,Linh Đặng Thị,linhdangthi551@edu.vn,2004-12-03,Thái Nguyên,4.82,4.62,9.3,6.25
SV20250092,Nhung Trần Đức,,2004-02-27,Thái Nguyên,8.78,4.43,3.17,5.46
SV20250093,Long Phạm Bảo,longphambao217@edu.vn,2001-01-19,Nam Định,2.95,5.48,,4.22
SV20250094,Hà Đặng Anh,hadanganh568@edu.vn,2005-04-07,Thái Bình,,0.74,7.07,3.9
