student_code,first_name,last_name,email,date_of_birth,hometown,math_score,literature_score,english_score
SV20250001,Linh,Đặng Anh,,2-1-2000,Cần Thơ,5.44,1.48,5.2
SV20250002,Phương,Nguyễn Hữu,phuongnguyenhuu446@edu.vn,1-4-2004,Thái Bình,7.31,8.03,3.45
SV20250003,Linh,Vũ Ngọc,,6/4/2002,Đà Nẵng,8.04,0.79,4.74
SV20250004,Long,Võ Ngọc,longvongoc796@edu.vn,2000-10-12,Thái Bình,2.25,0.34,
SV20250005,Phương,Vũ Gia,phuongvugia240@edu.vn,2003-02-06,Lào Cai,0.66,1.17,0.25
SV20250006,,,,,,ten,9.11,9.46
SV20250007,Nam,Lê Bảo,,2000/7/3,Cần Thơ,4.48,7.88,3.7
SV20250008,Nam,Võ Ngọc,namvongoc56@edu.vn,13/2/2002,Thanh Hóa,7.09,4.2,9.25
SV20250009,Lan,Nguyễn Quốc,lannguyenquoc880@edu.vn,2004/2/21,Lào Cai,5.49,6.1,8.29
SV20250010,Hải,Trần Hữu,haitranhuu401@edu.vn,2001-09-14,Hà Nội,4.0,7.7,6.38
SV20250011,,,,22-2-2003,,0.0,2.21,
SV20250012,Ngân,Vũ Anh,nganvuanh980@edu.vn,15-6-2000,Thái Bình,ten,0.11,1.81
SV20250013,Linh,Vũ Thị,linhvuthi767@edu.vn,2001-06-16,Lào Cai,8.08,3.59,
SV20250014,Mai,Huỳnh Bảo,maihuynhbao787@edu.vn,6-16-2001,Thái Bình,NaN,8.18,eight
SV20250015,Mai,Phan Minh,maiphanminh521@edu.vn,11-27-2004,Đà Nẵng,5.56,2.01,9.07
SV20250016,Duy,Huỳnh Thị,duyhuynhthi320@edu.vn,2004-07-05,Hồ Chí Minh,2.01,NaN,7.56
SV20250017,Hà,Phạm Gia,haphamgia403@edu.vn,24-3-2002,Hồ Chí Minh,3.36,5.45,0.57
SV20250018,Trang,Phan Bảo,trangphanbao598@edu.vn,24-3-2007,Đà Nẵng,NaN,8.66,3.68
SV20250019,Hải,Vũ Minh,haivuminh382@edu.vn,27-9-2003,Thái Nguyên,fail,eight,8.83
SV20250020,Tuấn,Phan Hữu,tuanphanhuu864@edu.vn,2002/1/10,Thái Nguyên,5.28,7.35,4.17
SV20250021,Lan,Vũ Gia,lanvugia990@edu.vn,25/11/2001,Nam Định,3.3,1.45,9.45
SV20250022,Huy,Vũ Văn,,28-1-2004,Lào Cai,7.66,4.79,
SV20250023,Cường,Hoàng Anh,cuonghoanganh935@edu.vn,not a date,Cần Thơ,NaN,3.33,3.94
SV20250024,Nam,Phạm Quốc,namphamquoc682@edu.vn,11-2-2005,Hà Nội,3.61,4.63,1.54
SV20250025,Hà,Lê Anh,haleanh127@edu.vn,2001-06-14,Đà Nẵng,,8.35,7.48
SV20250026,Hà,Vũ Đức,havuduc528@edu.vn,9-21-2000,Lào Cai,0.32,6.39,4.67
SV20250027,Duy,Đặng Văn,,3-5-2003,Hà Nội,8.43,2.68,
SV20250028,Lan,Nguyễn Bảo,lannguyenbao885@edu.vn,9-11-2004,,7.83,5.51,1.49
SV20250029,Nam,Võ Quốc,namvoquoc12@edu.vn,1-18-2000,Hà Nội,3.97,3.11,2.69
SV20250030,Mai,Phan Thị,maiphanthi98@edu.vn,3-11-2000,Thái Nguyên,8.12,5.02,0.51
SV20250031,Ngân,Lê Anh,nganleanh173@edu.vn,1/10/2000,Hà Nội,2.91,-2,7.59
SV20250032,Huy,Trần Đức,huytranduc341@edu.vn,2006-10-09,Thái Nguyên,3.29,NaN,2.35
SV20250033,Cường,Võ Minh,cuongvominh19@edu.vn,2002/9/3,Thanh Hóa,1.65,6.95,
SV20250034,Mai,Phan Anh,maiphananh953@edu.vn,3-22-2002,Đà Nẵng,8.12,NaN,ten
SV20250035,Ngân,Hoàng Đức,nganhoangduc86@edu.vn,4-15-2003,Thanh Hóa,NaN,4.11,NaN
SV20250036,Phương,Huỳnh Thị,phuonghuynhthi700@edu.vn,25-7-2001,,2.13,0.99,eight
SV20250037,Hải,Lê Anh,haileanh788@edu.vn,16/11/2007,Đà Nẵng,7.85,6.67,8.36
SV20250038,Trang,Phan Gia,trangphangia247@edu.vn,23/1/2001,Hà Nội,fail,fail,4.9
SV20250039,,,,2001/1/19,Quảng Ninh,8.52,2.93,1.31
SV20250040,Trang,Hoàng Anh,tranghoanganh794@edu.vn,6-23-2007,Lào Cai,3.85,,8.68
SV20250041,Linh,Vũ Hữu,linhvuhuu821@edu.vn,not a date,Quảng Ninh,8.88,eight,
SV20250042,Phương,Đặng Ngọc,phuongdangngoc290@edu.vn,2001-02-16,Lào Cai,3.5,3.08,8.72
SV20250043,Nam,Trần Văn,,13/2/2000,Cần Thơ,0.63,,3.95
SV20250044,Linh,Vũ Minh,linhvuminh405@edu.vn,2004-06-02,Thái Nguyên,9.34,3.54,4.45
SV20250045,Lan,Nguyễn Gia,lannguyengia669@edu.vn,3-25-2007,Đà Nẵng,NaN,0.5,3.88
SV20250046,Nam,Đặng Quốc,namdangquoc850@edu.vn,22-12-2003,Thái Bình,5.24,7.46,1.92
SV20250047,Long,Hoàng Hữu,longhoanghuu343@edu.vn,14/1/2004,Hà Nội,,7.31,0.02
SV20250048,Phương,Lê Quốc,,6-7-2000,Quảng Ninh,ten,3.77,1.63
SV20250049,Nam,Huỳnh Anh,namhuynhanh753@edu.vn,not a date,Hồ Chí Minh,4.67,0.27,3.55
SV20250050,,,,7-9-2006,Thái Nguyên,6.97,7.5,8.56
SV20250051,Mai,Phạm Quốc,maiphamquoc50@edu.vn,2006-03-23,Cần Thơ,1.93,NaN,5.06
SV20250052,Cường,Đặng Minh,cuongdangminh251@edu.vn,7-7-2000,Lào Cai,0.35,3.1,2.07
SV20250053,Phương,Võ Văn,phuongvovan617@edu.vn,28/3/2001,Hồ Chí Minh,1.14,8.06,1.05
SV20250054,Trang,Phan Văn,trangphanvan699@edu.vn,3-20-2005,Thái Nguyên,9.8,,2.28
