student_code,first_name,last_name,email,date_of_birth,hometown,math_score,literature_score,english_score
SV20250001,Anh,Linh Đặng,,2000-01-02,Cần Thơ,5.44,1.48,5.2
SV20250002,Hữu,Phương Nguyễn,phuongnguyenhuu446@edu.vn,2004-04-01,Thái Bình,7.31,8.03,3.45
SV20250003,Ngọc,Linh Vũ,,2002-04-06,Đà Nẵng,8.04,0.79,4.74
SV20250004,Ngọc,Long Võ,longvongoc796@edu.vn,2000-12-10,Thái Bình,2.25,0.34,
SV20250005,Gia,Phương Vũ,phuongvugia240@edu.vn,2003-06-02,Lào Cai,0.66,1.17,0.25
SV20250006,nan,nan,,,,,9.11,9.46
SV20250007,Bảo,Nam Lê,,2000-03-07,Cần Thơ,4.48,7.88,3.7
SV20250008,Ngọc,Nam Võ,namvongoc56@edu.vn,2002-02-13,Thanh Hóa,7.09,4.2,9.25
SV20250009,Quốc,Lan Nguyễn,lannguyenquoc880@edu.vn,2004-02-21,Lào Cai,5.49,6.1,8.29
SV20250010,Hữu,Hải Trần,haitranhuu401@edu.vn,2001-09-14,Hà Nội,4.0,7.7,6.38
SV20250011,nan,nan,,2003-02-22,,0.0,2.21,
SV20250012,Anh,Ngân Vũ,nganvuanh980@edu.vn,2000-06-15,Thái Bình,,0.11,1.81
SV20250013,Thị,Linh Vũ,linhvuthi767@edu.vn,2001-06-16,Lào Cai,8.08,3.59,
SV20250014,Bảo,Mai Huỳnh,maihuynhbao787@edu.vn,2001-06-16,Thái Bình,,8.18,
SV20250015,Minh,Mai Phan,maiphanminh521@edu.vn,2004-11-27,Đà Nẵng,5.56,2.01,9.07
SV20250016,Thị,Duy Huỳnh,duyhuynhthi320@edu.vn,2004-05-07,Hồ Chí Minh,2.01,,7.56
SV20250017,Gia,Hà Phạm,haphamgia403@edu.vn,2002-03-24,Hồ Chí Minh,3.36,5.45,0.57
SV20250018,Bảo,Trang Phan,trangphanbao598@edu.vn,2007-03-24,Đà Nẵng,,8.66,3.68
SV20250019,Minh,Hải Vũ,haivuminh382@edu.vn,2003-09-27,Thái Nguyên,,,8.83
SV20250020,Hữu,Tuấn Phan,tuanphanhuu864@edu.vn,2002-10-01,Thái Nguyên,5.28,7.35,4.17
SV20250021,Gia,Lan Vũ,lanvugia990@edu.vn,2001-11-25,Nam Định,3.3,1.45,9.45
SV20250022,Văn,Huy Vũ,,2004-01-28,Lào Cai,7.66,4.79,
SV20250023,Anh,Cường Hoàng,cuonghoanganh935@edu.vn,,Cần Thơ,,3.33,3.94
SV20250024,Quốc,Nam Phạm,namphamquoc682@edu.vn,2005-02-11,Hà Nội,3.61,4.63,1.54
SV20250025,Anh,Hà Lê,haleanh127@edu.vn,2001-06-14,Đà Nẵng,,8.35,7.48
SV20250026,Đức,Hà Vũ,havuduc528@edu.vn,2000-09-21,Lào Cai,0.32,6.39,4.67
SV20250027,Văn,Duy Đặng,,2003-05-03,Hà Nội,8.43,2.68,
SV20250028,Bảo,Lan Nguyễn,lannguyenbao885@edu.vn,2004-11-09,,7.83,5.51,1.49
SV20250029,Quốc,Nam Võ,namvoquoc12@edu.vn,2000-01-18,Hà Nội,3.97,3.11,2.69
SV20250030,Thị,Mai Phan,maiphanthi98@edu.vn,2000-11-03,Thái Nguyên,8.12,5.02,0.51
SV20250031,Anh,Ngân Lê,nganleanh173@edu.vn,2000-10-01,Hà Nội,2.91,,7.59
SV20250032,Đức,Huy Trần,huytranduc341@edu.vn,2006-09-10,Thái Nguyên,3.29,,2.35
SV20250033,Minh,Cường Võ,cuongvominh19@edu.vn,2002-03-09,Thanh Hóa,1.65,6.95,
SV20250034,Anh,Mai Phan,maiphananh953@edu.vn,2002-03-22,Đà Nẵng,8.12,,
SV20250035,Đức,Ngân Hoàng,nganhoangduc86@edu.vn,2003-04-15,Thanh Hóa,,4.11,
