student_code,first_name,last_name,email,date_of_birth,hometown,math_score,literature_score,english_score
SV20250001,Jane,Dương,jane.dương594@student.edu.vn,2003-06-23,Nghệ An,,7.0,
SV20250002,John,,,2000-03-10,Quảng Ninh,4.85,1.77,1.08
SV20250003,John,Phạm,john.phạm814@student.edu.vn,1999-12-07,Bình Dương,7.43,7.5,9.12
SV20250004,Jane,Bùi,jane.bùi610@student.edu.vn,2006-10-05,Bình Dương,8.52,2.66,3.67
SV20250005,,Đặng,,2005-04-16,Nghệ An,5.31,9.05,1.14
SV20250006,Jane,Đặng,jane.đặng563@student.edu.vn,2003-12-10,Thái Bình,,6.26,6.11
SV20250007,Jane,Hoàng,jane.hoàng512@student.edu.vn,2006-10-10,Bến Tre,2.84,3.18,2.1
SV20250008,Jane,Lê,,2000-01-18,Phú Yên,7.96,4.41,5.11
SV20250009,Jane,Mai,jane.mai399@student.edu.vn,2006-10-27,Quảng Ngãi,3.83,8.44,6.21
SV20250010,John,Nguyễn,john.nguyễn734@student.edu.vn,,Hà Nam,8.84,0.79,8.03
SV20250011,John,Lê,john.lê586@student.edu.vn,2005-09-10,Đắk Nông,,0.43,7.52
SV20250012,John,Phạm,john.phạm807@student.edu.vn,2000-12-03,Quảng Nam,,2.94,5.04
SV20250013,Jane,Dương,jane.dương332@student.edu.vn,2004-03-02,Hà Giang,4.54,8.42,0.1
SV20250014,John,Hoàng,john.hoàng804@student.edu.vn,2003-09-18,Cần Thơ,,,6.79
SV20250015,Jane,Trần,jane.trần770@student.edu.vn,2000-11-07,Sóc Trăng,2.79,2.65,
SV20250016,Jane,Nguyễn,jane.nguyễn199@student.edu.vn,2006-08-07,,5.39,1.02,3.17
SV20250017,Jane,Vũ,,2001-11-28,Đà Nẵng,2.26,2.61,7.22
SV20250018,Jane,Mai,jane.mai998@student.edu.vn,1999-11-24,Tiền Giang,2.8,,9.18
SV20250019,Jane,Nguyễn,jane.nguyễn920@student.edu.vn,2004-02-25,Quảng Trị,8.6,,9.98
